20260224-150336-2417 39228 * main            (benchmark.cc:403): Starting benchmark.
20260224-150336-7974 39228 * main            (benchmark.cc:622): Creating a default paritioner!
20260224-150336-7976 39228 * Client          (client.cc:75):     Initializing StrongStore client with id [0]
20260224-150336-7978 39228 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150336-7978 39228 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 1111718992
20260224-150336-7978 39228 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 1111718992
20260224-150336-7978 39228 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 1111718992
20260224-150336-7982 39228 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 0 1
20260224-150336-7982 39228 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150336-7982 39228 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 1111718992
20260224-150336-7982 39228 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 1111718992
20260224-150336-7982 39228 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 1111718992
20260224-150336-7983 39228 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 0 1
20260224-150336-7983 39228 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150336-7983 39228 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 1111718992
20260224-150336-7983 39228 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 1111718992
20260224-150336-7983 39228 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 1111718992
20260224-150336-7983 39228 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 0 1
20260224-150336-7984 39228 * BenchmarkClient (bench_client.cc:81): starting benchclient, issueConcurrent: 1; fanout: 1
Session created: 0
last_service: , current_state: 0
Session continued: 0
last_service: , current_state: 0
Session destroyed: 18446744073709551615
last_service: , current_state: 0
20260224-150336-8147 39228 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260224-150336-8147 39228 * SendMessageToReplica (transportcommon.h:97): key is 0, value is 1111716304
20260224-150336-8147 39228 * SendMessageToReplica (transportcommon.h:97): key is 1, value is 1111716304
20260224-150336-8147 39228 * SendMessageToReplica (transportcommon.h:97): key is 2, value is 1111716304
20260224-150337-8033 39228 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
