91.442432,0.01
92.026112,0.02
92.424448,0.03
92.759808,0.04
93.083392,0.05
93.39392,0.06
93.72672,0.07
94.046976,0.08
94.348032,0.09
94.632704,0.1
94.901504,0.11
95.165952,0.12
95.377408,0.13
95.655168,0.14
95.935232,0.15
96.173056,0.16
96.448768,0.17
96.678912,0.18
96.905984,0.19
97.145856,0.2
97.447168,0.21
97.755136,0.22
98.09536,0.23
98.444288,0.24
98.841344,0.25
99.19616,0.26
99.588608,0.27
100.190208,0.28
101.036032,0.29
101.744128,0.3
102.783744,0.31
104.283648,0.32
107.6352,0.33
163.321856,0.34
164.1344,0.35
164.576,0.36
165.008128,0.37
165.528832,0.38
166.031872,0.39
166.52288,0.4
166.99648,0.41
167.499008,0.42
168.099328,0.43
168.623616,0.44
169.221376,0.45
169.700096,0.46
170.332416,0.47
171.100672,0.48
172.174592,0.49
173.271808,0.5
175.169792,0.51
178.800384,0.52
179.659264,0.53
180.441088,0.54
181.107456,0.55
181.689344,0.56
182.2016,0.57
182.661888,0.58
183.072768,0.59
183.406592,0.6
183.726848,0.61
183.965696,0.62
184.246528,0.63
184.547072,0.64
184.9152,0.65
185.272064,0.66
185.552384,0.67
185.831424,0.68
186.144512,0.69
186.520832,0.7
186.834176,0.71
187.161344,0.72
187.523584,0.73
187.935232,0.74
188.395008,0.75
188.93824,0.76
189.424896,0.77
189.831168,0.78
190.408704,0.79
191.094272,0.8
191.699456,0.81
192.448512,0.82
193.309696,0.83
194.46144,0.84
196.289792,0.85
199.211776,0.86
203.833344,0.87
253.376256,0.88
254.1632,0.89
254.793216,0.9
255.324672,0.91
255.834112,0.92
256.261376,0.93
256.697088,0.94
257.353984,0.95
258.08384,0.96
259.181312,0.97
260.618496,0.98
263.44192,0.99
