20260308-231206-2677 31270 * main            (benchmark.cc:404): Starting benchmark.
20260308-231206-8728 31270 * main            (benchmark.cc:623): Creating a default paritioner!
20260308-231206-8731 31270 * Client          (client.cc:75):     Initializing StrongStore client with id [1]
20260308-231206-8734 31270 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-231206-8734 31270 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1351925632
20260308-231206-8734 31270 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1351925632
20260308-231206-8734 31270 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1351925632
20260308-231206-8738 31270 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 1 1
20260308-231206-8738 31270 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-231206-8738 31270 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1351925632
20260308-231206-8738 31270 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1351925632
20260308-231206-8738 31270 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1351925632
20260308-231206-8739 31270 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 1 1
20260308-231206-8739 31270 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-231206-8739 31270 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1351925632
20260308-231206-8739 31270 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1351925632
20260308-231206-8739 31270 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1351925632
20260308-231206-8740 31270 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 1 1
20260308-231206-8741 31270 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-231206-8741 31270 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1351925632
20260308-231206-8741 31270 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1351925632
20260308-231206-8742 31270 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1351925632
