20250818-111119-7376 02986 * main            (server.cc:204):    Starting server.
20250818-111122-1126 02986 * main            (server.cc:451):    Done loading server.
20250818-111225-5185 02986 * Cleanup         (server.cc:490):    Gracefully exiting after signal 15.
Inserted events:
  0x56262204e6b0 [fd  9] Read Persist Internal
  0x562622054b40 [fd  10] Read Persist
  0x56262205f050 [fd  11] Read Persist
  0x562631835120 [fd  12] Read Persist
  0x562631837e10 [fd  13] Read Persist
  0x56263185cad0 [fd  15] Read Persist
  0x56263185ccf0 [fd  16] Read Persist
  0x56263185cf10 [fd  17] Read Persist
  0x56263185d440 [fd  18] Read Persist
  0x56263185d7b0 [fd  19] Read Persist
  0x56263185dc40 [fd  20] Read Persist
  0x562631837000 [fd  21] Read Persist
  0x562631836c70 [fd  22] Read Persist
  0x562631845550 [fd  23] Read Persist
  0x56263185ec90 [fd  24] Read Persist
  0x56263185f200 [fd  25] Read Persist
  0x56263185f850 [fd  26] Read Persist
  0x562631861070 [fd  27] Read Persist
  0x5626318616c0 [fd  28] Read Persist
  0x562631861ed0 [fd  29] Read Persist
  0x5626318628f0 [fd  30] Read Persist
  0x562631865040 [fd  34] Read Persist
  0x562631870520 [fd  38] Read Persist
  0x562631873530 [fd  39] Read Persist
  0x562631877f90 [fd  40] Read Persist
  0x5626330076a0 [fd  -1] Timeout=1758215545.967183
Active events:
20250818-111225-5192 02986 * Cleanup         (server.cc:494):    Exporting stats to /mnt/extra/experiments/2025-09-18-11-11-17/out/server-0-2-0-stats-0.json.
