0.71692,0.01
0.776358,0.02
0.816376,0.03
0.848155,0.04
0.870341,0.05
0.889571,0.06
0.905942,0.07
0.920308,0.08
0.93171,0.09
0.942194,0.1
0.952307,0.11
0.961744,0.12
0.970119,0.13
0.977686,0.14
0.985185,0.15
0.992912,0.16
0.999507,0.17
1.005963,0.18
1.012262,0.19
1.018452,0.2
1.024291,0.21
1.030164,0.22
1.035726,0.23
1.041244,0.24
1.046927,0.25
1.052691,0.26
1.0586,0.27
1.064508,0.28
1.070192,0.29
1.075835,0.3
1.081779,0.31
1.087618,0.32
1.093955,0.33
1.100533,0.34
1.106597,0.35
1.113207,0.36
1.120038,0.37
1.127545,0.38
1.134326,0.39
1.141488,0.4
1.148639,0.41
1.156021,0.42
1.163339,0.43
1.170887,0.44
1.1788,0.45
1.186353,0.46
1.193568,0.47
1.200671,0.48
1.208449,0.49
1.215671,0.5
1.223704,0.51
1.231142,0.52
1.238399,0.53
1.245816,0.54
1.253894,0.55
1.261803,0.56
1.269836,0.57
1.277455,0.58
1.285012,0.59
1.293055,0.6
1.300743,0.61
1.308442,0.62
1.315438,0.63
1.322204,0.64
1.329606,0.65
1.337133,0.66
1.344365,0.67
1.3525,0.68
1.360894,0.69
1.370351,0.7
1.381622,0.71
1.394071,0.72
1.407352,0.73
1.42189,0.74
1.43466,0.75
1.449766,0.76
1.46438,0.77
1.477325,0.78
1.491102,0.79
1.504774,0.8
1.516456,0.81
1.527276,0.82
1.536227,0.83
1.544486,0.84
1.551969,0.85
1.55927,0.86
1.566072,0.87
1.572306,0.88
1.578475,0.89
1.58481,0.9,0.9
1.59144,0.91
1.598332,0.92
1.605544,0.93
1.613848,0.94
1.624633,0.95
1.636856,0.96
1.664301,0.97
1.76098,0.98
1.909055,0.99,0.99
