868670650.6122079,224.0
868671153.803087,200.0
868671655.66067,156.0
868672159.069335,166.0
868672664.039239,152.0
868673169.311618,190.0
868673672.485392,266.0
868674175.119914,248.0
868674676.872147,232.0
868675180.8852639,210.0
868675685.4053769,238.0
868676186.306713,214.0
868676686.685989,132.0
868677192.945593,146.0
868677694.339677,206.0
868678184.16145,180.0
868678698.264414,136.0
868679201.027262,196.0
868679704.5264829,232.0
868680207.346452,238.0
868680711.370566,232.0
868681208.01756,230.0
868681714.046317,250.0
868682213.649651,212.0
868682716.550985,170.0
868683221.277454,192.0
868683719.999581,186.0
868684227.894197,236.0
868684729.6153181,236.0
868685232.592658,238.0
868685735.319767,242.0
868686237.9463509,234.0
868686742.6403639,196.0
868687242.189051,252.0
868687744.1021689,236.0
868688246.4242591,222.0
868688748.127519,240.0
868689250.629709,238.0
868689751.4246479,200.0
868690251.103182,174.0
868690755.721215,198.0
868691156.0744951,138.0
