20260308-230954-3009 31021 * main            (benchmark.cc:404): Starting benchmark.
20260308-230954-9076 31021 * main            (benchmark.cc:623): Creating a default paritioner!
20260308-230954-9078 31021 * Client          (client.cc:75):     Initializing StrongStore client with id [4]
20260308-230954-9081 31021 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-230954-9081 31021 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -913914592
20260308-230954-9081 31021 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -913914592
20260308-230954-9082 31021 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -913914592
20260308-230954-9085 31021 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 4 1
20260308-230954-9085 31021 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-230954-9086 31021 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -913914592
20260308-230954-9086 31021 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -913914592
20260308-230954-9086 31021 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -913914592
20260308-230954-9086 31021 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 4 1
20260308-230954-9086 31021 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-230954-9087 31021 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -913914592
20260308-230954-9087 31021 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -913914592
20260308-230954-9087 31021 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -913914592
20260308-230954-9087 31021 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 4 1
20260308-230954-9088 31021 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-230954-9089 31021 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -913914592
20260308-230954-9089 31021 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -913914592
20260308-230954-9089 31021 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -913914592
20260308-230954-9089 31021 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 4 1
20260308-230954-9089 31021 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260308-230954-9090 31021 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -913914592
20260308-230954-9090 31021 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -913914592
20260308-230954-9090 31021 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -913914592
20260308-230954-9090 31021 * ShardClient     (shardclient.cc:58): success in sending register client: for client id 4 1
20260308-230954-9090 31021 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
