20250818-111338-2219 03550 * main            (server.cc:204):    Starting server.
20250818-111340-6043 03550 * main            (server.cc:451):    Done loading server.
20250818-111445-5581 03550 * Cleanup         (server.cc:490):    Gracefully exiting after signal 15.
Inserted events:
  0x55648578e6b0 [fd  9] Read Persist Internal
  0x556485794b40 [fd  10] Read Persist
  0x55648579f050 [fd  11] Read Persist
  0x556494fb6460 [fd  12] Read Persist
  0x556494fb9150 [fd  13] Read Persist
  0x556494fde8b0 [fd  18] Read Persist
  0x556494fdead0 [fd  19] Read Persist
  0x556494fdecf0 [fd  20] Read Persist
  0x556494fc6ad0 [fd  21] Read Persist
  0x556494fc7160 [fd  22] Read Persist
  0x556494fc6710 [fd  23] Read Persist
  0x556494fb8000 [fd  24] Read Persist
  0x556494fe1200 [fd  29] Read Persist
  0x556494fe20a0 [fd  31] Read Persist
  0x556494fe2af0 [fd  33] Read Persist
  0x556494fe4c70 [fd  38] Read Persist
  0x556494fe7950 [fd  40] Read Persist
  0x556494fe7fe0 [fd  41] Read Persist
  0x556494fe8320 [fd  42] Read Persist
  0x556494fe8e90 [fd  43] Read Persist
  0x556494fe5980 [fd  46] Read Persist
  0x556494fecb00 [fd  48] Read Persist
  0x556494fece70 [fd  49] Read Persist
  0x556494ff6440 [fd  59] Read Persist
  0x556494ff5d40 [fd  64] Read Persist
  0x556499b75390 [fd  -1] Timeout=1758215685.633159
Active events:
20250818-111445-5589 03550 * Cleanup         (server.cc:494):    Exporting stats to /mnt/extra/experiments/2025-09-18-11-13-35/out/server-0-4-0-stats-0.json.
