20260309-000730-8168 39083 * main            (benchmark.cc:404): Starting benchmark.
20260309-000731-4188 39083 * main            (benchmark.cc:623): Creating a default paritioner!
20260309-000731-4191 39083 * Client          (client.cc:75):     Initializing StrongStore client with id [3]
20260309-000733-6329 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000733-6330 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000733-6330 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000733-6330 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000734-0359 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000734-0360 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000734-0360 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000734-0360 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000734-4386 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000734-4386 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000734-4387 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000734-4387 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000734-8420 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000734-8420 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000734-8421 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000734-8421 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000735-2452 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000735-2453 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000735-2453 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000735-2453 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000735-4394 39083 * WarmupDone      (bench_client.cc:724): Completed warmup period of 4 seconds with 8 requests
20260309-000735-6478 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000735-6478 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000735-6479 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000735-6479 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000736-0504 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000736-0504 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000736-0505 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000736-0505 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000736-4533 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000736-4534 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000736-4534 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000736-4534 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000736-8572 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000736-8573 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000736-8573 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000736-8573 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000737-2607 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000737-2608 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000737-2608 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000737-2609 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000737-6645 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000737-6645 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000737-6646 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000737-6646 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000738-0675 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000738-0676 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000738-0676 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000738-0676 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000738-4702 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000738-4703 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000738-4703 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000738-4704 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000738-8729 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000738-8729 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000738-8729 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000738-8730 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000739-2767 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000739-2768 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000739-2768 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000739-2769 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000739-6804 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000739-6805 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000739-6805 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000739-6805 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000740-0841 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000740-0842 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000740-0842 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000740-0842 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000740-4867 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000740-4867 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000740-4868 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000740-4868 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000740-8904 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000740-8904 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000740-8905 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000740-8905 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000741-2937 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000741-2938 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000741-2938 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000741-2938 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000741-6971 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000741-6972 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000741-6972 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000741-6972 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000742-0998 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000742-0999 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000742-0999 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000742-0999 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000742-5031 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000742-5031 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000742-5031 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000742-5032 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000742-9056 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000742-9057 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000742-9057 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000742-9057 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000743-3092 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000743-3093 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000743-3093 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000743-3093 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000743-7134 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000743-7135 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000743-7135 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000743-7136 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000744-1169 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
