1.578245,0.01
1.755934,0.02
1.836572,0.03
1.872089,0.04
1.898345,0.05
1.917695,0.06
1.931337,0.07
1.945636,0.08
1.959613,0.09
1.97136,0.1
1.981409,0.11
1.990069,0.12
2.000578,0.13
2.011458,0.14
2.021617,0.15
2.03109,0.16
2.03791,0.17
2.044756,0.18
2.05167,0.19
2.058974,0.2
2.0654,0.21
2.071789,0.22
2.07885,0.23
2.08505,0.24
2.090418,0.25
2.095404,0.26
2.101123,0.27
2.106466,0.28
2.111627,0.29
2.116243,0.3
2.120423,0.31
2.125208,0.32
2.129288,0.33
2.134921,0.34
2.139361,0.35
2.144293,0.36
2.149004,0.37
2.152889,0.38
2.157043,0.39
2.161649,0.4
2.166113,0.41
2.170309,0.42
2.174052,0.43
2.177571,0.44
2.181419,0.45
2.185159,0.46
2.189178,0.47
2.192636,0.48
2.19663,0.49
2.200439,0.5
2.204398,0.51
2.208057,0.52
2.21191,0.53
2.216426,0.54
2.219964,0.55
2.224093,0.56
2.228313,0.57
2.232328,0.58
2.236563,0.59
2.241364,0.6
2.246491,0.61
2.251848,0.62
2.256584,0.63
2.261917,0.64
2.266698,0.65
2.271234,0.66
2.276581,0.67
2.281863,0.68
2.286981,0.69
2.292098,0.7
2.297304,0.71
2.302833,0.72
2.307563,0.73
2.312885,0.74
2.318709,0.75
2.324368,0.76
2.331533,0.77
2.338681,0.78
2.345131,0.79
2.351536,0.8
2.358612,0.81
2.365949,0.82
2.373667,0.83
2.382573,0.84
2.391153,0.85
2.400118,0.86
2.410227,0.87
2.421715,0.88
2.434183,0.89
2.446556,0.9
2.460224,0.91
2.477724,0.92
2.498127,0.93
2.520088,0.94
2.54668,0.95
2.579367,0.96
2.681213,0.97
2.911875,0.98
3.048935,0.99
