2.4823,0.01
2.891779,0.02
3.176365,0.03
3.385243,0.04
3.537084,0.05
3.678396,0.06
3.813763,0.07
3.922375,0.08
4.02699,0.09
4.126519,0.1
4.207948,0.11
4.293681,0.12
4.367,0.13
4.438337,0.14
4.499004,0.15
4.564963,0.16
4.642874,0.17
4.704308,0.18
4.763437,0.19
4.811217,0.2
4.865598,0.21
4.928157,0.22
4.976359,0.23
5.034367,0.24
5.083498,0.25
5.135287,0.26
5.179354,0.27
5.232257,0.28
5.294489,0.29
5.343715,0.3
5.389684,0.31
5.428073,0.32
5.472312,0.33
5.514175,0.34
5.567611,0.35
5.606087,0.36
5.656626,0.37
5.709036,0.38
5.75006,0.39
5.79532,0.4
5.834289,0.41
5.889682,0.42
5.936546,0.43
5.978659,0.44
6.022144,0.45
6.067539,0.46
6.119593,0.47
6.157134,0.48
6.20519,0.49
6.248202,0.5
6.28849,0.51
6.323004,0.52
6.36106,0.53
6.4076,0.54
6.451224,0.55
6.492343,0.56
6.547456,0.57
6.58782,0.58
6.624327,0.59
6.666273,0.6
6.705652,0.61
6.752363,0.62
6.798245,0.63
6.849368,0.64
6.896599,0.65
6.948388,0.66
7.002622,0.67
7.051472,0.68
7.098053,0.69
7.146936,0.7
7.202309,0.71
7.262034,0.72
7.323685,0.73
7.394262,0.74
7.453127,0.75
7.503807,0.76
7.565643,0.77
7.634133,0.78
7.70541,0.79
7.7695,0.8
7.866266,0.81
7.937715,0.82
8.03201,0.83
8.144159,0.84
8.244234,0.85
8.348062,0.86
8.472223,0.87
8.561718,0.88
8.713383,0.89
8.876733,0.9
9.068523,0.91
9.250734,0.92
9.458506,0.93
9.716724,0.94
10.109836,0.95
10.812075,0.96
11.830495,0.97
14.49997,0.98
19.799111,0.99
