20250818-111338-2221 03549 * main            (server.cc:204):    Starting server.
20250818-111340-5992 03549 * main            (server.cc:451):    Done loading server.
20250818-111445-5581 03549 * Cleanup         (server.cc:490):    Gracefully exiting after signal 15.
Inserted events:
  0x559331c106b0 [fd  9] Read Persist Internal
  0x559331c16b40 [fd  10] Read Persist
  0x559331c21050 [fd  11] Read Persist
  0x5593414680f0 [fd  12] Read Persist
  0x55934146ade0 [fd  13] Read Persist
  0x55934148fec0 [fd  17] Read Persist
  0x5593414900e0 [fd  18] Read Persist
  0x559341490300 [fd  19] Read Persist
  0x55934146a060 [fd  20] Read Persist
  0x5593414785b0 [fd  21] Read Persist
  0x559341479570 [fd  22] Read Persist
  0x559341479180 [fd  23] Read Persist
  0x559341491810 [fd  26] Read Persist
  0x5593414923b0 [fd  28] Read Persist
  0x559341492e10 [fd  29] Read Persist
  0x559341493150 [fd  30] Read Persist
  0x559341493490 [fd  31] Read Persist
  0x559341493870 [fd  32] Read Persist
  0x55934149aea0 [fd  39] Read Persist
  0x55934149b1e0 [fd  40] Read Persist
  0x55934149bdc0 [fd  43] Read Persist
  0x5593414a0e50 [fd  48] Read Persist
  0x5593414a11b0 [fd  49] Read Persist
  0x5593414a6640 [fd  54] Read Persist
  0x5593414ad5e0 [fd  61] Read Persist
  0x559345ecc700 [fd  -1] Timeout=1758215685.634985
Active events:
20250818-111445-5589 03549 * Cleanup         (server.cc:494):    Exporting stats to /mnt/extra/experiments/2025-09-18-11-13-35/out/server-0-3-0-stats-0.json.
